rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
8,Deadlock,1.02,15.3,15.0,4.2,0.498,0.009,205,56305,e8,act2,diamond3
9,Sova,0.99,14.5,14.7,5.5,0.498,0.069,200,452831,e8,act2,diamond3
10,Viper,1.01,14.9,14.8,5.2,0.497,0.055,203,360079,e8,act2,diamond3
11,Raze,1.03,16.7,16.1,4.4,0.493,0.076,236,496727,e8,act2,diamond3
12,Killjoy,1.02,14.8,14.5,3.4,0.493,0.038,201,250820,e8,act2,diamond3
13,Skye,0.96,14.5,15.1,7.3,0.493,0.037,198,244179,e8,act2,diamond3
14,Jett,1.08,17.3,16.1,3.4,0.492,0.128,237,843025,e8,act2,diamond3
15,Fade,0.96,14.5,15.0,6.5,0.491,0.015,198,98949,e8,act2,diamond3
16,Astra,1.04,15.4,14.8,6.8,0.491,0.012,207,77518,e8,act2,diamond3
17,Chamber,1.11,16.6,15.0,3.0,0.491,0.053,222,350970,e8,act2,diamond3
18,Omen,0.99,14.9,15.1,7.4,0.489,0.1,203,654719,e8,act2,diamond3
19,Breach,0.93,14.3,15.4,7.2,0.477,0.019,197,127707,e8,act2,diamond3
20,Yoru,1.02,16.2,15.9,4.2,0.475,0.016,222,108200,e8,act2,diamond3
21,Neon,0.97,16.0,16.5,4.2,0.471,0.007,222,47187,e8,act2,diamond3
22,Harbor,0.92,14.1,15.3,5.8,0.459,0.005,192,32109,e8,act2,diamond3
23,Iso,1.02,16.5,16.2,4.0,0.456,0.007,229,44808,e8,act2,diamond3
24,KAY/O,0.92,14.3,15.6,9.1,0.451,0.022,202,147761,e8,act2,diamond3
1,Brimstone,0.97,14.5,14.9,8.9,0.51,0.032,204,223865,e8,act2,diamond2
2,Sage,0.93,14.0,15.0,6.9,0.506,0.042,193,292113,e8,act2,diamond2
3,Phoenix,1.1,17.2,15.6,4.5,0.505,0.025,238,178123,e8,act2,diamond2
4,Deadlock,1.02,15.3,14.9,4.2,0.503,0.009,205,64599,e8,act2,diamond2
5,Reyna,1.12,17.6,15.7,4.2,0.502,0.102,241,715177,e8,act2,diamond2
6,Gekko,0.93,14.0,15.0,5.0,0.499,0.05,189,348924,e8,act2,diamond2
7,Sova,0.98,14.5,14.7,5.5,0.499,0.065,200,459742,e8,act2,diamond2
8,Viper,1.0,14.8,14.8,5.2,0.497,0.053,202,374107,e8,act2,diamond2
9,Cypher,1.01,14.7,14.6,4.6,0.496,0.087,197,608445,e8,act2,diamond2
10,Jett,1.08,17.3,16.0,3.4,0.492,0.123,238,865292,e8,act2,diamond2
11,Skye,0.95,14.4,15.1,7.2,0.492,0.037,197,263206,e8,act2,diamond2
12,Astra,1.03,15.2,14.8,6.6,0.492,0.012,206,83345,e8,act2,diamond2
13,Raze,1.03,16.6,16.1,4.4,0.492,0.074,235,522865,e8,act2,diamond2
